sku,name,description,price
233,bb product,a basic black product,232
234,bb product,a basic black product,233
235,bb product,a basic black product,234
236,bb product,a basic black product,235
237,bb product,a basic black product,236
238,bb product,a basic black product,237
239,bb product,a basic black product,238
240,bb product,a basic black product,239
241,bb product,a basic black product,240
242,bb product,a basic black product,241
243,bb product,a basic black product,242
244,bb product,a basic black product,243
245,bb product,a basic black product,244
246,bb product,a basic black product,245
247,bb product,a basic black product,246
248,bb product,a basic black product,247
249,bb product,a basic black product,248
250,bb product,a basic black product,249
251,bb product,a basic black product,250
252,bb product,a basic black product,251
253,bb product,a basic black product,252
254,bb product,a basic black product,253
255,bb product,a basic black product,254
256,bb product,a basic black product,255
257,bb product,a basic black product,256
258,bb product,a basic black product,257
259,bb product,a basic black product,258
260,bb product,a basic black product,259
261,bb product,a basic black product,260
262,bb product,a basic black product,261
263,bb product,a basic black product,262
264,bb product,a basic black product,263
265,bb product,a basic black product,264
266,bb product,a basic black product,265
267,bb product,a basic black product,266
268,bb product,a basic black product,267
269,bb product,a basic black product,268
270,bb product,a basic black product,269
271,bb product,a basic black product,270
272,bb product,a basic black product,271
